iter	RMSE
0	3.458204805
1	3.405808193
2	3.355427718
3	3.306394318
4	3.259518037
5	3.21430777
6	3.169999384
7	3.12692471
8	3.0851872
9	3.044539921
10	3.005015171
11	2.967016204
12	2.930480938
13	2.894590196
14	2.859924432
15	2.826465414
16	2.794148926
17	2.762665212
18	2.732037917
19	2.702245556
20	2.67310232
21	2.645096646
22	2.618047204
23	2.591304088
24	2.565171033
25	2.539414701
26	2.514448353
27	2.490479981
28	2.466211293
29	2.442575329
30	2.41985109
31	2.397234515
32	2.37466238
33	2.353136703
34	2.331387277
35	2.31067389
36	2.290208739
37	2.269833834
38	2.2498101
39	2.230101259
40	2.21050832
41	2.191515588
42	2.172422238
43	2.154169973
44	2.136061962
45	2.11809423
46	2.100204756
47	2.083201725
48	2.065743592
49	2.049133765
50	2.031743744
51	2.015533828
52	1.999663367
53	1.984035915
54	1.967313183
55	1.951582005
56	1.936392867
57	1.921459922
58	1.90660573
59	1.892150201
60	1.877616268
61	1.863270791
62	1.849229232
63	1.835355759
64	1.820369792
65	1.807095346
66	1.7936178
67	1.780731518
68	1.766006614
69	1.753247409
70	1.739105205
71	1.726728726
72	1.714366514
73	1.702182896
74	1.690042211
75	1.678128912
76	1.664823368
77	1.653209861
78	1.641712182
79	1.628888837
80	1.617483376
81	1.604944484
82	1.594008639
83	1.583350039
84	1.572621113
85	1.560791207
86	1.550379933
87	1.538698788
88	1.528458884
89	1.517134461
90	1.507142127
91	1.497388007
92	1.487714708
93	1.478107889
94	1.468403161
95	1.459196649
96	1.449839882
97	1.440799915
98	1.431607091
99	1.422796125
100	1.412439845
101	1.402487433
102	1.393675359
103	1.385146612
104	1.376758928
105	1.368554447
106	1.360223023
107	1.352108132
108	1.344056391
109	1.33611687
110	1.326968052
111	1.319200038
112	1.310021868
113	1.302504175
114	1.294729213
115	1.287283006
116	1.279878236
117	1.271252617
118	1.262897329
119	1.255966945
120	1.24856795
121	1.240469166
122	1.233577721
123	1.225938135
124	1.21812005
125	1.210712552
126	1.203565714
127	1.196721616
128	1.189595491
129	1.183440801
130	1.176045628
131	1.169755219
132	1.163564337
133	1.156345002
134	1.149958751
135	1.143153047
136	1.1371675
137	1.130734467
138	1.124512524
139	1.11757807
140	1.111262419
141	1.104667963
142	1.099113297
143	1.093143668
144	1.087658497
145	1.082304423
146	1.075989577
147	1.070278192
148	1.065184351
149	1.060026927
150	1.054994977
151	1.050042064
152	1.045194619
153	1.039840972
154	1.034152672
155	1.028250483
156	1.023576866
157	1.01887322
158	1.013288014
