iter	Passed	Remaining
0	11	7710
1	21	7395
2	32	7654
3	42	7324
4	51	7158
5	60	7021
6	69	6925
7	78	6817
8	87	6723
9	96	6658
10	105	6621
11	114	6569
12	123	6511
13	131	6461
14	140	6423
15	149	6407
16	158	6371
17	167	6344
18	177	6353
19	187	6359
20	196	6356
21	206	6354
22	215	6346
23	224	6331
24	234	6343
25	246	6379
26	256	6383
27	264	6351
28	273	6329
29	282	6305
30	290	6279
31	299	6251
32	306	6203
33	314	6162
34	322	6132
35	330	6095
36	338	6072
37	347	6049
38	355	6030
39	363	6001
40	371	5973
41	379	5949
42	387	5924
43	395	5898
44	402	5865
45	411	5844
46	419	5821
47	428	5822
48	436	5797
49	444	5778
50	455	5799
51	463	5781
52	473	5775
53	481	5762
54	490	5755
55	499	5746
56	507	5729
57	516	5719
58	524	5703
59	534	5703
60	543	5696
61	552	5680
62	560	5672
63	569	5658
64	578	5648
65	586	5636
66	595	5624
67	603	5607
68	611	5595
69	620	5586
70	629	5577
71	638	5568
72	647	5557
73	655	5543
74	663	5531
75	672	5520
76	681	5512
77	690	5504
78	699	5496
79	708	5491
80	717	5481
81	725	5471
82	734	5463
83	743	5453
84	752	5448
85	762	5446
86	772	5443
87	781	5433
88	791	5430
89	801	5433
90	811	5433
91	821	5429
92	830	5417
93	839	5411
94	850	5416
95	860	5412
96	870	5412
97	879	5404
98	889	5397
99	900	5400
100	911	5403
101	921	5400
102	930	5391
103	940	5389
104	952	5399
105	961	5389
106	970	5377
107	977	5359
108	985	5342
109	992	5325
110	1000	5310
111	1008	5294
112	1016	5279
113	1023	5262
114	1031	5246
115	1038	5229
116	1046	5213
117	1054	5202
118	1062	5188
119	1070	5175
120	1078	5159
121	1086	5146
122	1093	5129
123	1100	5114
124	1108	5098
125	1116	5084
126	1123	5068
127	1131	5054
128	1138	5040
129	1146	5029
130	1154	5016
131	1163	5008
132	1172	4997
133	1180	4985
134	1188	4975
135	1196	4961
136	1203	4946
137	1211	4934
138	1219	4921
139	1226	4905
140	1234	4892
141	1241	4879
142	1248	4863
143	1256	4852
144	1264	4838
145	1271	4826
146	1280	4815
147	1287	4802
148	1294	4788
149	1302	4776
150	1310	4763
151	1317	4751
152	1325	4739
153	1332	4725
154	1340	4712
155	1348	4700
156	1355	4687
157	1362	4675
158	1370	4661
159	1377	4650
160	1385	4639
161	1393	4628
162	1400	4615
163	1409	4605
164	1417	4595
165	1424	4582
166	1431	4570
167	1439	4558
168	1446	4545
169	1454	4534
170	1463	4526
171	1470	4514
172	1478	4503
173	1485	4489
174	1492	4477
175	1500	4467
176	1508	4457
177	1515	4445
178	1523	4434
179	1531	4423
180	1538	4411
181	1546	4400
182	1553	4389
183	1560	4377
184	1568	4365
185	1575	4353
186	1582	4341
187	1589	4329
188	1597	4318
189	1604	4306
190	1611	4294
191	1619	4284
192	1626	4273
193	1634	4262
194	1642	4252
195	1649	4241
196	1657	4230
197	1664	4220
198	1672	4209
199	1679	4197
200	1686	4186
201	1693	4174
202	1701	4164
